date,CLI
2010-01,99.55194
2010-02,99.83647
2010-03,100.1521
2010-04,100.3674
2010-05,100.4345
2010-06,100.4366
2010-07,100.4826
2010-08,100.5627
2010-09,100.6587
2010-10,100.7766
2010-11,100.918
2010-12,101.0763
2011-01,101.192
2011-02,101.2405
2011-03,101.2033
2011-04,101.0595
2011-05,100.822
2011-06,100.6182
2011-07,100.3871
2011-08,100.1853
2011-09,100.0081
2011-10,99.85739
2011-11,99.79063
2011-12,99.81644
2012-01,99.91315
2012-02,100.0097
2012-03,100.0441
2012-04,99.98435
2012-05,99.81822
2012-06,99.6413
2012-07,99.53771
2012-08,99.47892
2012-09,99.43643
2012-10,99.36803
2012-11,99.34615
2012-12,99.42205
2013-01,99.55563
2013-02,99.67212
2013-03,99.68672
2013-04,99.6522
2013-05,99.69823
2013-06,99.84526
2013-07,100.0463
2013-08,100.2493
2013-09,100.3769
2013-10,100.4217
2013-11,100.4389
2013-12,100.409
2014-01,100.357
2014-02,100.3933
2014-03,100.4671
2014-04,100.5283
2014-05,100.5398
2014-06,100.5255
2014-07,100.5323
2014-08,100.5508
2014-09,100.5251
2014-10,100.5164
2014-11,100.4568
2014-12,100.3425
2015-01,100.2571
2015-02,100.2057
2015-03,100.1764
2015-04,100.1801
2015-05,100.1774
2015-06,100.122
2015-07,100.0339
2015-08,99.93605
2015-09,99.84574
2015-10,99.79615
2015-11,99.77197
2015-12,99.78059
2016-01,99.81533
2016-02,99.86969
2016-03,99.95301
2016-04,100.0055
2016-05,100.0556
2016-06,100.1043
2016-07,100.086
2016-08,100.0466
2016-09,100.1176
2016-10,100.2319
2016-11,100.3777
2016-12,100.513
2017-01,100.6373
2017-02,100.7616
2017-03,100.8168
2017-04,100.8315
2017-05,100.9026
2017-06,101.0514
2017-07,101.1838
2017-08,101.3292
2017-09,101.4533
2017-10,101.4937
2017-11,101.513
2017-12,101.5348
2018-01,101.5381
2018-02,101.5066
2018-03,101.4266
2018-04,101.3846
2018-05,101.3888
2018-06,101.3889
2018-07,101.3422
2018-08,101.2775
2018-09,101.1388
2018-10,100.984
2018-11,100.8768
2018-12,100.7188
2019-01,100.5899
2019-02,100.4665
2019-03,100.3779
2019-04,100.2576
2019-05,100.1211
2019-06,99.9436
2019-07,99.74039
2019-08,99.58143
2019-09,99.46026
2019-10,99.46185
2019-11,99.5305
2019-12,99.58295
2020-01,99.52119
2020-02,99.04
2020-03,98.01039
2020-04,96.88047
2020-05,96.76145
2020-06,97.5133
2020-07,98.41351
2020-08,99.09225
2020-09,99.54197
2020-10,99.85938
2020-11,100.0199
2020-12,100.2347
2021-01,100.4586
2021-02,100.7849
2021-03,101.1712
2021-04,101.4628
2021-05,101.7132
2021-06,101.8889
2021-07,101.9772
2021-08,102.0035
2021-09,102.0398
2021-10,102.0617
2021-11,102.0592
2021-12,101.9676
2022-01,101.8274
2022-02,101.6733
2022-03,101.4598
2022-04,101.2673
2022-05,101.0843
2022-06,100.8071
2022-07,100.4891
2022-08,100.1944
2022-09,99.92569
2022-10,99.74028
2022-11,99.61549
2022-12,99.57259
2023-01,99.58707
2023-02,99.57767
2023-03,99.5321
2023-04,99.4464
2023-05,99.35478
2023-06,99.2902
2023-07,99.27202
2023-08,99.27409
2023-09,99.27847
2023-10,99.25832
2023-11,99.24428
2023-12,99.29763
2024-01,99.3867
2024-02,99.45485
2024-03,99.52076
2024-04,99.51226
2024-05,99.45121
2024-06,99.38908
2024-07,99.33028
2024-08,99.29682
2024-09,99.27441
2024-10,99.28172
2024-11,99.32996
2024-12,99.37747
2025-01,99.49142
