Date,rfr
2010-01-01,0.02
2010-02-01,0.06
2010-03-01,0.12
2010-04-01,0.15
2010-05-01,0.15
2010-06-01,0.08
2010-07-01,0.16
2010-08-01,0.15
2010-09-01,0.12
2010-10-01,0.14
2010-11-01,0.13
2010-12-01,0.09
2011-01-01,0.14
2011-02-01,0.11
2011-03-01,0.06
2011-04-01,0.03
2011-05-01,0.02
2011-06-01,0.02
2011-07-01,0.04
2011-08-01,0.02
2011-09-01,0.01
2011-10-01,0.01
2011-11-01,0.01
2011-12-01,0
2012-01-01,0.02
2012-02-01,0.06
2012-03-01,0.06
2012-04-01,0.07
2012-05-01,0.07
2012-06-01,0.05
2012-07-01,0.07
2012-08-01,0.09
2012-09-01,0.08
2012-10-01,0.11
2012-11-01,0.12
2012-12-01,0.04
2013-01-01,0.05
2013-02-01,0.08
2013-03-01,0.08
2013-04-01,0.05
2013-05-01,0.02
2013-06-01,0.03
2013-07-01,0.02
2013-08-01,0.04
2013-09-01,0.02
2013-10-01,0.11
2013-11-01,0.05
2013-12-01,0.02
2014-01-01,0.02
2014-02-01,0.05
2014-03-01,0.05
2014-04-01,0.02
2014-05-01,0.03
2014-06-01,0.02
2014-07-01,0.02
2014-08-01,0.03
2014-09-01,0.01
2014-10-01,0.02
2014-11-01,0.04
2014-12-01,0.03
2015-01-01,0.02
2015-02-01,0.02
2015-03-01,0.02
2015-04-01,0.02
2015-05-01,0.01
2015-06-01,0.01
2015-07-01,0.03
2015-08-01,0.04
2015-09-01,0.01
2015-10-01,0.01
2015-11-01,0.07
2015-12-01,0.17
2016-01-01,0.23
2016-02-01,0.26
2016-03-01,0.25
2016-04-01,0.19
2016-05-01,0.23
2016-06-01,0.22
2016-07-01,0.26
2016-08-01,0.26
2016-09-01,0.19
2016-10-01,0.24
2016-11-01,0.3
2016-12-01,0.42
2017-01-01,0.5
2017-02-01,0.48
2017-03-01,0.66
2017-04-01,0.75
2017-05-01,0.73
2017-06-01,0.84
2017-07-01,0.97
2017-08-01,0.98
2017-09-01,0.99
2017-10-01,1
2017-11-01,1.09
2017-12-01,1.2
2018-01-01,1.3
2018-02-01,1.38
2018-03-01,1.64
2018-04-01,1.66
2018-05-01,1.71
2018-06-01,1.81
2018-07-01,1.89
2018-08-01,1.94
2018-09-01,2.04
2018-10-01,2.17
2018-11-01,2.24
2018-12-01,2.37
2019-01-01,2.4
2019-02-01,2.43
2019-03-01,2.45
2019-04-01,2.43
2019-05-01,2.4
2019-06-01,2.22
2019-07-01,2.15
2019-08-01,2.07
2019-09-01,1.99
2019-10-01,1.73
2019-11-01,1.58
2019-12-01,1.55
2020-01-01,1.53
2020-02-01,1.58
2020-03-01,0.37
2020-04-01,0.11
2020-05-01,0.1
2020-06-01,0.13
2020-07-01,0.11
2020-08-01,0.08
2020-09-01,0.09
2020-10-01,0.09
2020-11-01,0.09
2020-12-01,0.08
2021-01-01,0.08
2021-02-01,0.04
2021-03-01,0.02
2021-04-01,0.02
2021-05-01,0.01
2021-06-01,0.03
2021-07-01,0.05
2021-08-01,0.04
2021-09-01,0.05
2021-10-01,0.06
2021-11-01,0.07
2021-12-01,0.04
2022-01-01,0.05
2022-02-01,0.04
2022-03-01,0.18
2022-04-01,0.31
2022-05-01,0.58
2022-06-01,1.06
2022-07-01,1.85
2022-08-01,2.28
2022-09-01,2.61
2022-10-01,3.32
2022-11-01,3.87
2022-12-01,3.9
2023-01-01,4.52
2023-02-01,4.64
2023-03-01,4.49
2023-04-01,4.17
2023-05-01,5.49
2023-06-01,5.2
2023-07-01,5.39
2023-08-01,5.54
2023-09-01,5.53
2023-10-01,5.57
2023-11-01,5.53
2023-12-01,5.54
2024-01-01,5.54
2024-02-01,5.49
2024-03-01,5.51
2024-04-01,5.48
2024-05-01,5.5
2024-06-01,5.46
2024-07-01,5.48
2024-08-01,5.5
2024-09-01,5.06
2024-10-01,4.92
2024-11-01,4.71
2024-12-01,4.5
2025-01-01,4.42
